"Time","Radiance (high res)"
1621995000000,21.7
1621995120000,21.7
1621995240000,21.7
1621995360000,21.7
1621995480000,21.7
1621995600000,21.7
1621995720000,21.7
1621995840000,21.7
1621995960000,21.7
1621996080000,21.7
1621996200000,21.7
1621996320000,21.7
1621996440000,21.6
1621996560000,21.6
1621996680000,21.6
1621996800000,21.6
1621996920000,21.6
1621997040000,21.6
1621997160000,21.6
1621997280000,21.6
1621997400000,21.6
1621997520000,21.6
1621997640000,21.6
1621997760000,21.6
1621997880000,21.6
1621998000000,21.6
1621998120000,21.6
1621998240000,21.5
1621998360000,21.5
1621998480000,21.5
1621998600000,21.5
1621998720000,21.5
1621998840000,21.5
1621998960000,21.5
1621999080000,21.5
1621999200000,21.4
1621999320000,21.4
1621999440000,21.4
1621999560000,21.4
1621999680000,21.4
1621999800000,21.4
1621999920000,21.4
1622000040000,21.4
1622000160000,21.4
1622000280000,21.4
1622000400000,21.4
1622000520000,21.4
1622000640000,21.4
1622000760000,21.4
1622000880000,21.4
1622001000000,21.3
1622001120000,21.3
1622001240000,21.3
1622001360000,21.3
1622001480000,21.3
1622001600000,21.3
1622001720000,21.3
1622001840000,21.3
1622001960000,21.3
1622002080000,21.3
1622002200000,21.3
1622002320000,21.3
1622002440000,21.3
1622002560000,21.3
1622002680000,21.3
1622002800000,21.2
1622002920000,21.2
1622003040000,21.2
1622003160000,21.2
1622003280000,21.2
1622003400000,21.2
1622003520000,21.2
1622003640000,21.2
1622003760000,21.2
1622003880000,21.2
1622004000000,21.2
1622004120000,21.2
1622004240000,21.2
1622004360000,21.2
1622004480000,21.2
1622004600000,21.2
1622004720000,21.1
1622004840000,21.1
1622004960000,21.1
1622005080000,21.1
1622005200000,21.1
1622005320000,21.1
1622005440000,21.1
1622005560000,21.1
1622005680000,21.1
1622005800000,21.1
1622005920000,21.2
1622006040000,21.2
1622006160000,21.3
1622006280000,21.3
1622006400000,21.3
1622006520000,21.4
1622006640000,21.5
1622006760000,21.6
1622006880000,21.6
1622007000000,21.7
1622007120000,21.8
1622007240000,21.8
1622007360000,21.9
1622007480000,22
1622007600000,22.1
1622007720000,22.2
1622007840000,22.3
1622007960000,22.4
1622008080000,22.4
1622008200000,22.6
1622008320000,22.7
1622008440000,22.8
1622008560000,22.8
1622008680000,22.9
1622008800000,23.1
1622008920000,23.2
1622009040000,23.3
1622009160000,23.4
1622009280000,23.4
1622009400000,23.6
1622009520000,23.6
1622009640000,23.6
1622009760000,23.6
1622009880000,23.6
1622010000000,23.6
1622010120000,23.6
1622010240000,23.6
1622010360000,23.6
1622010480000,23.6
1622010600000,23.5
1622010720000,23.5
1622010840000,23.5
1622010960000,23.4
1622011080000,23.4
1622011200000,23.4
1622011320000,23.4
1622011440000,23.3
1622011560000,23.3
1622011680000,23.3
1622011800000,23.3
1622011920000,23.3
1622012040000,23.3
1622012160000,23.2
1622012280000,23.2
1622012400000,23.2
1622012520000,23.2
1622012640000,23.2
1622012760000,23.2
1622012880000,23.2
1622013000000,23.2
1622013120000,23.2
1622013240000,23.2
1622013360000,23.3
1622013480000,23.3
1622013600000,23.3
1622013720000,23.3
1622013840000,23.3
1622013960000,23.3
1622014080000,23.3
1622014200000,23.3
1622014320000,23.3
1622014440000,23.3
1622014560000,23.3
1622014680000,23.3
1622014800000,23.2
1622014920000,23.2
1622015040000,23.2
1622015160000,23.2
1622015280000,23.2
1622015400000,23.2
1622015520000,23.2
1622015640000,23.2
1622015760000,23.2
1622015880000,23.2
1622016000000,23.2
1622016120000,23.2
1622016240000,23.2
1622016360000,23.2
1622016480000,23.2
1622016600000,23.2
1622016720000,23.2
1622016840000,23.2
1622016960000,23.2
1622017080000,23.2
